
开始运行: pipeline_countdown.py
 切换到门店：Woolworths Christchurch Airport

 正在爬取分类：Egg - https://www.woolworths.co.nz/shop/browse/pantry/eggs
[Egg] Woodland Eggs Free Range Size 7 Carton 10pack | 总价: 8.9|总数量：10pack | 单位价: 0.89 单位： ea | Promo: 1
[Milk] Puhoi Valley Milk & Cream Blend Half & Half 750mL | 总价: 7.52|总数量：750ml | 单位价: 10.03 单位： L | Promo: 0
分类 [Milk] 商品信息打印完毕


 正在爬取分类：Meat - https://www.woolworths.co.nz/shop/browse/meat-poultry/beef
[Meat] Woolworths Beef Mince Value Min Order 500g | 总价: None|总数量：500g | 单位价: 18.9 单位： kg | Promo: 0
[Meat] Woolworths Beef Mince Premium Min Order 500g | 总价: None|总数量：500g | 单位价: 24.9 单位： kg | Promo: 0
[Meat] Woolworths Beef Mince Prime Min Order 500g | 总价: None|总数量：500g | 单位价: 20.9 单位： kg | Promo: 0
[Meat] First Light Beef Mince Wagyu 400g | 总价: 10.7|总数量：400g | 单位价: 26.75 单位： kg | Promo: 1
[Meat] Woolworths NZ Beef Rump Steak Grass Fed Min Order 500g | 总价: None|总数量：500g | 单位价: 28.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Sausages Classic Beef 450g Tray 6pack | 总价: 8.0|总数量：6pack | 单位价: 17.78 单位： kg | Promo: 0
[Meat] Hellers Sausages Old Fashioned Beef 6pack | 总价: 11.95|总数量：6pack | 单位价: 24.9 单位： kg | Promo: 0
[Meat] Hellers Burger Patties Mini Beef 300g | 总价: 8.0|总数量：300g | 单位价: 26.67 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Sirloin Steak Porterhouse Grass Fed Large Tray Min Order 650g | 总价: None|总数量：650g | 单位价: 37.9 单位： kg | Promo: 0
[Meat] Woolworths Beef Mince Large Tray Value Pk Min Order 1kg | 总价: None|总数量：1kg | 单位价: 18.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Sausages Beef Breakfast 375g Tray 10pack | 总价: 8.0|总数量：10pack | 单位价: 21.33 单位： kg | Promo: 0
[Meat] Silver Fern Farms Honest Beef Burgers With Smoky Caramelized Onion 2 Pack 500g | 总价: 14.95|总数量：500g | 单位价: 29.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Chuck Steak Diced Grass Fed 340g Tray | 总价: 8.0|总数量：340g | 单位价: 23.53 单位： kg | Promo: 0
[Meat] Silver Fern Farms Beef Flat-Iron Steaks 220g | 总价: 13.9|总数量：220g | 单位价: 63.18 单位： kg | Promo: 0
[Meat] Woolworths NZ Corned Beef Silverside Grass Fed Min Order 1kg | 总价: None|总数量：1kg | 单位价: 12.9 单位： kg | Promo: 1
[Meat] Woolworths Beef Meatballs Grass Fed Beef NZ 20-Pack 400g | 总价: 8.9|总数量：400g | 单位价: 22.25 单位： kg | Promo: 1
[Meat] Woolworths NZ Beef Schnitzel 2pack Grass Fed Small Tray Min Order 250g | 总价: None|总数量：250g | 单位价: 27.5 单位： kg | Promo: 0
[Meat] Woolworths Sausages Angus Beef 450g Tray 6pack | 总价: 11.5|总数量：6pack | 单位价: 25.56 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Rump Steak Whole Min Order 5kg | 总价: None|总数量：5kg | 单位价: 23.9 单位： kg | Promo: 0
[Meat] Hellers Burger Patties Angus 454g 4pack | 总价: 14.4|总数量：4pack | 单位价: 31.72 单位： kg | Promo: 0
[Meat] Meat Street Beef Grill Steaks 3pk 360g | 总价: 8.0|总数量：360g | 单位价: 22.22 单位： kg | Promo: 0
[Meat] First Light Sausages Wagyu Beef 420g | 总价: 14.39|总数量：420g | 单位价: 34.26 单位： kg | Promo: 0
[Meat] Woolworths Scotch Fillet Steak Rib Eye Small Tray Min Order 500g | 总价: None|总数量：500g | 单位价: 43.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Cross Cut Blade Steak Grass Fed Medium Tray Min Order 700g | 总价: None|总数量：700g | 单位价: 24.6 单位： kg | Promo: 0
[Meat] Meat Street Burger Patties Classic Beef 320g 4pack | 总价: 8.0|总数量：4pack | 单位价: 25.0 单位： kg | Promo: 0
[Meat] Woolworths Angus Beef Mince Premium NZ Min Order 600g | 总价: None|总数量：600g | 单位价: 27.1 单位： kg | Promo: 1
[Meat] First Light Burger Patties Wagyu Beef 400g | 总价: 12.5|总数量：400g | 单位价: 31.25 单位： kg | Promo: 1
[Meat] Silver Fern Farms Honest Lamb Burgers With Apple & Mint 2 Pack 500g | 总价: 14.95|总数量：500g | 单位价: 29.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Schnitzel Crumbed 2pack Grass Fed Min Order 300g | 总价: None|总数量：300g | 单位价: 27.5 单位： kg | Promo: 0
[Meat] Silver Fern Farms Honest Beef & Lamb Burgers With Manuka Smoked Salt 4 Pack 500g | 总价: 14.95|总数量：500g | 单位价: 29.9 单位： kg | Promo: 0
[Meat] Woolworths Scotch Fillet Rib Eye Steak Large Tray | 总价: None|总数量：NA | 单位价: 43.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Sausages Spicy Chorizo Style 450g Tray 6pack | 总价: 7.9|总数量：6pack | 单位价: 17.56 单位： kg | Promo: 1
[Meat] Woolworths Beef Mince Prime Large Tray 700g Min Order | 总价: None|总数量：700g | 单位价: 20.9 单位： kg | Promo: 0
[Meat] Woolworths Meatballs Pork & Beef 400g | 总价: 8.9|总数量：400g | 单位价: 22.25 单位： kg | Promo: 1
[Meat] Woolworths Sausages Angus Beef Hickory 450g Tray 6pack | 总价: 11.5|总数量：6pack | 单位价: 25.56 单位： kg | Promo: 0
[Meat] Woolworths NZ Sausages Cheesy Beef 450g Tray 6pack | 总价: 7.9|总数量：6pack | 单位价: 17.56 单位： kg | Promo: 1
[Meat] Woolworths Burger Patties Prime 400g 4pack | 总价: 12.95|总数量：4pack | 单位价: 32.38 单位： kg | Promo: 0
[Meat] First Light NZ Beef Rump Steak Grass Fed Wagyu 250g Tray | 总价: 14.5|总数量：250g | 单位价: 58.0 单位： kg | Promo: 0
[Meat] Hellers Meatballs Pork 400g | 总价: 12.4|总数量：400g | 单位价: 31.0 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Stir Fry Premium Grass Fed Min Order 200g | 总价: None|总数量：200g | 单位价: 30.5 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Scotch Fillet Steak Whole Min Order 3.5kg | 总价: None|总数量：3.5kg | 单位价: 39.9 单位： kg | Promo: 0
[Meat] Meat Street Beef Grill Sticks Steakhouse 5pk 300g | 总价: 8.0|总数量：300g | 单位价: 26.67 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Chuck Steak Grass Fed Medium Tray Min Order 700g | 总价: None|总数量：700g | 单位价: 27.5 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Eye Fillet Steak Whole Min Order 2kg | 总价: None|总数量：2kg | 单位价: 49.9 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Diced Premium Grass Fed Min Order 650g | 总价: None|总数量：650g | 单位价: 30.5 单位： kg | Promo: 0
[Meat] Beak & Sons Beef Casserole Beef & Ale 600g | 总价: 14.99|总数量：600g | 单位价: 24.98 单位： kg | Promo: 0
[Meat] Woolworths NZ Beef Bbq Steak Tenderised Grass Fed Min Order 900g | 总价: None|总数量：900g | 单位价: 29.5 单位： kg | Promo: 0
[Meat] Woolworths Angus Beef Mince Premium 350g | 总价: 7.65|总数量：350g | 单位价: 21.86 单位： kg | Promo: 1
分类 [Meat] 商品信息打印完毕


 正在爬取分类：Meat - https://www.woolworths.co.nz/shop/browse/meat-poultry/lamb
[Meat] Hellers Sausages London Pride 6pack | 总价: 10.95|总数量：6pack | 单位价: 22.81 单位： kg | Promo: 0
[Meat] Woolworths Lamb Leg Frozen Bone In Min Order 2.7kg | 总价: None|总数量：2.7kg | 单位价: 17.9 单位： kg | Promo: 0
[Meat] Hellers Sausages NZ Lamb & Thyme 6pack | 总价: 10.75|总数量：6pack | 单位价: 25.6 单位： kg | Promo: 1
[Meat] Woolworths Boneless Lamb Leg Frozen Min Order 1.4kg | 总价: None|总数量：1.4kg | 单位价: 20.9 单位： kg | Promo: 0
[Meat] Meat Street Lamb Grill Sticks Doner Kebab 5pk 300g | 总价: 8.0|总数量：300g | 单位价: 26.67 单位： kg | Promo: 0
[Meat] Silver Fern Farms Lamb Rumps 400g | 总价: 15.25|总数量：400g | 单位价: 38.13 单位： kg | Promo: 1
[Meat] Woolworths NZ Sausages Lamb Herb & Garlic 450g Tray 6pack | 总价: 7.9|总数量：6pack | 单位价: 17.56 单位： kg | Promo: 1
[Meat] Woolworths Lamb Chops Shoulder Bbq 2 Piece Min Order 500g | 总价: None|总数量：500g | 单位价: 16.9 单位： kg | Promo: 1
[Meat] Meat Street Lamb Grill Steaks 3pk 360g | 总价: 8.0|总数量：360g | 单位价: 22.22 单位： kg | Promo: 0
[Meat] Meat Street Lamb Grill Sticks Oriental Mint 5pk 300g | 总价: 8.0|总数量：300g | 单位价: 26.67 单位： kg | Promo: 0
[Meat] Woolworths Lamb Mince Prime Medium Tray Min Order 400g | 总价: None|总数量：400g | 单位价: 26.9 单位： kg | Promo: 0
[Meat] Woolworths Lamb Chops Loin Medium Tray Min Order 500g | 总价: None|总数量：500g | 单位价: 24.9 单位： kg | Promo: 1
[Meat] Woolworths Lamb Chops Shoulder Marinated Min Order 500g | 总价: None|总数量：500g | 单位价: 16.9 单位： kg | Promo: 1
[Meat] Woolworths Lamb Roast Leg | 总价: None|总数量：NA | 单位价: 23.95 单位： kg | Promo: 0
[Meat] Woolworths Lamb Leg Butterflied Rosemary & Garlic Prepacked 400g | 总价: 21.3|总数量：400g | 单位价: 53.25 单位： kg | Promo: 0
[Meat] Woolworths Lamb Leg Butterflied 400g | 总价: 21.3|总数量：400g | 单位价: 53.25 单位： kg | Promo: 0
[Meat] Hellers Sausages New Yorker Porker 6pack | 总价: 10.95|总数量：6pack | 单位价: 22.81 单位： kg | Promo: 0
[Meat] Woolworths Sausages Lamb, Manuka Honey & Rosemary 450g Tray 6pack | 总价: 11.5|总数量：6pack | 单位价: 25.56 单位： kg | Promo: 0
[Meat] Woolworths Lamb Steaks Boneless Leg Small Tray Min Order 500g | 总价: None|总数量：500g | 单位价: 34.9 单位： kg | Promo: 0
[Meat] Woolworths Lamb Chops Loin Small Tray Min Order 500g | 总价: None|总数量：500g | 单位价: 24.9 单位： kg | Promo: 1
[Meat] Woolworths Lamb Diced Small Tray Min Order 500g | 总价: None|总数量：500g | 单位价: 38.5 单位： kg | Promo: 0
[Meat] Woolworths Lamb Chops Neck Medium Tray Min Order 800g | 总价: None|总数量：800g | 单位价: 21.5 单位： kg | Promo: 0
[Meat] Woolworths Lamb Leg Butterfly | 总价: None|总数量：NA | 单位价: 39.9 单位： kg | Promo: 0
[Meat] Beak & Sons Lamb Shanks Garlic & Rosemary Min Order 750g | 总价: None|总数量：750g | 单位价: 30.9 单位： kg | Promo: 0
[Meat] Woolworths Lamb Knuckles Gourmet Medium Pk Min Order 800g | 总价: None|总数量：800g | 单位价: 26.9 单位： kg | Promo: 0
[Meat] Woolworths Lamb Knuckles Gourmet 2 Pce Vac Pack Min Order 700g | 总价: None|总数量：700g | 单位价: 26.9 单位： kg | Promo: 0
[Meat] Woolworths Lamb Rack NZ Skin On | 总价: None|总数量：NA | 单位价: 49.95 单位： kg | Promo: 0
分类 [Meat] 商品信息打印完毕

WoolWorths data successfully collected
====================================================================
Exception ignored in: <function Chrome.__del__ at 0x000002235967FE20>
Traceback (most recent call last):
  File "C:\Python311\Lib\site-packages\undetected_chromedriver\__init__.py", line 843, in __del__
  File "C:\Python311\Lib\site-packages\undetected_chromedriver\__init__.py", line 798, in quit
OSError: [WinError 6] 句柄无效。
 pipeline_countdown.py 执行完成

开始运行: pipeline_newworld.py
 爬取 Egg @ store c6abac35-b75f-4a02-9b43-7ad5a7c7aa37
 正在访问: https://www.newworld.co.nz/shop/category/fresh-foods-and-bakery/dairy--eggs/eggs?storeId=c6abac35-b75f-4a02-9b43-7ad5a7c7aa37
没有弹窗按钮，或点击失败，跳过
 插入成功: Woodland Free Range Size 7 Eggs | $7.79 | Promo: 1
 插入成功: Sure As Eggs Mixed Grade Eggs | $6.99 | Promo: 1
 插入成功: Woodland Free Range Grade 7 Eggs | $5.49 | Promo: 1
 插入成功: Woodland Free Range Size 6 Eggs | $9.69 | Promo: 0
 插入成功: Farmer Brown Cage-Free Barn Size 6 Eggs | $8.49 | Promo: 1
 插入成功: Woodland Free Range Grade 6 Eggs | $5.49 | Promo: 1
 插入成功: Sure As Eggs Size 7 Eggs | $7.99 | Promo: 0
 插入成功: Woodland Free Range Size 6 Eggs | $16.99 | Promo: 0
 插入成功: Farmer Brown Barn Cage Free Size 7 Eggs | $5.99 | Promo: 0
 插入成功: Woodland Free Range Grade 8 Eggs | $7.29 | Promo: 0
 插入成功: Farmer Brown Fresh Colony Size 7 Eggs | $5.79 | Promo: 0
 插入成功: New Day Free Range Mixed Grade Eggs | $10.49 | Promo: 1
 插入成功: Bowalley Free Range Size 7 Eggs | $10.19 | Promo: 0
 插入成功: Bowalley Free Range Size 6 Eggs | $7.99 | Promo: 1
 插入成功: Farmer Brown Barn Size 6 Eggs | $15.49 | Promo: 0
 插入成功: Farmer Brown Barn Cage Free Size 7 Eggs | $16.99 | Promo: 0
 插入成功: Quail Valley Free Range Size 7 Eggs | $9.49 | Promo: 0
 插入成功: BENZIE Free Range Mixed Size Eggs | $8.99 | Promo: 1
 插入成功: Betty's Barn Cage Free Barn Mixed Grade Eggs | $7.29 | Promo: 0
 插入成功: Golden Downs Organic Free Range Mixed Grade Eggs | $12.99 | Promo: 0
 插入成功: Farmer Brown Barn Cage Free Size 8 Eggs | $10.29 | Promo: 0
 插入成功: Zeagold Egg White Natural Protein | $14.79 | Promo: 0
 插入成功: Hen's Choice Cage Free Barn Eggs | $9.89 | Promo: 0
 插入成功: Wholesome New Zealand New Zealand Organic Mixed Grade Eggs | $13.79 | Promo: 0
 插入成功: Quail Valley Free Range Kilo Pack Jumbo Eggs | $14.79 | Promo: 0
 插入成功: Sungold Cage Free Barn Size 7 Eggs | $4.99 | Promo: 0
 爬取 Milk @ store c6abac35-b75f-4a02-9b43-7ad5a7c7aa37
 正在访问: https://www.newworld.co.nz/shop/category/fresh-foods-and-bakery/dairy--eggs/fresh-milk?storeId=c6abac35-b75f-4a02-9b43-7ad5a7c7aa37
没有弹窗按钮，或点击失败，跳过
 插入成功: Value Standard Milk | $4.39 | Promo: 0
 插入成功: Value Standard Milk | $6.65 | Promo: 0
 插入成功: Pams Standard Milk | $2.95 | Promo: 0
 插入成功: Pams Standard Milk | $4.99 | Promo: 0
 插入成功: Pams Lite Milk | $4.99 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $5.59 | Promo: 0
 插入成功: Value Trim Milk | $4.39 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $3.39 | Promo: 0
 插入成功: Pams Standard Milk | $7.99 | Promo: 0
 插入成功: Pams Trim Milk | $2.95 | Promo: 0
 插入成功: Pams Calci Smart Milk | $6.29 | Promo: 0
 插入成功: Pams Trim Milk | $4.99 | Promo: 0
 插入成功: Pams Lite Milk | $2.95 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $1.65 | Promo: 0
 插入成功: Meadow Fresh Calci-Trim Fresh Milk | $6.75 | Promo: 0
 插入成功: Pams Calci Smart Milk | $3.55 | Promo: 0
 插入成功: Meadow Fresh Calci-Trim Fresh Milk | $3.65 | Promo: 0
 插入成功: Meadow Fresh Lite Fresh Milk | $5.59 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $8.39 | Promo: 0
 插入成功: Meadow Fresh Trim Fresh Milk | $5.59 | Promo: 0
 插入成功: Meadow Fresh Trim Fresh Milk | $3.39 | Promo: 0
 插入成功: Anchor A2 Blue Milk | $7.49 | Promo: 0
 插入成功: Value Trim Milk | $6.65 | Promo: 0
 插入成功: Meadow Fresh Lite Fresh Milk | $3.39 | Promo: 0
 插入成功: Pams Trim Milk | $7.99 | Promo: 0
 插入成功: Meadow Fresh Trim Fresh Milk | $1.65 | Promo: 0
 插入成功: Naturalea Organic Milk | $4.89 | Promo: 0
 插入成功: Meadow Fresh Farmhouse Fresh Full Cream Milk | $3.79 | Promo: 0
 插入成功: Meadow Fresh Cultured Buttermilk | $5.15 | Promo: 0
 插入成功: Meadow Fresh Organic Original Fresh Milk | $7.49 | Promo: 0
 插入成功: Lewis Road Creamery A2 Protein Homogenised Milk | $7.29 | Promo: 0
 插入成功: Anchor A2 Lite Milk | $7.49 | Promo: 0
 插入成功: Puhoi Valley Fresh Non Homogenised Non Organic Milk | $6.79 | Promo: 0
 插入成功: Lewis Road Creamery Homogenised Jersey Milk | $6.75 | Promo: 0
 插入成功: Lewis Road Creamery Non-Homogenised Jersey Milk | $6.75 | Promo: 0
 插入成功: Karikaas Cultured & Churned Buttermilk | $6.85 | Promo: 0
 插入成功: Lewis Road Creamery Caramel Espresso Fresh Flavoured Milk | $4.79 | Promo: 0
 插入成功: Lewis Road Creamery Caramel Espresso Fresh Flavoured Milk | $7.19 | Promo: 1
 爬取 Meat @ store c6abac35-b75f-4a02-9b43-7ad5a7c7aa37
 正在访问: https://www.newworld.co.nz/shop/category/fresh-foods-and-bakery/butchery/fresh-beef--lamb?storeId=c6abac35-b75f-4a02-9b43-7ad5a7c7aa37
没有弹窗按钮，或点击失败，跳过
 插入成功: NZ Premium Beef Mince | $21.99 | Promo: 1
 插入成功: Prime Beef Mince | $20.49 | Promo: 0
 插入成功: Beef Rump Steak | $28.29 | Promo: 0
 插入成功: Lamb Shoulder Chops | $19.49 | Promo: 0
 插入成功: NZ Beef Schnitzel | $25.99 | Promo: 1
 插入成功: NZ Stir Fry Beef | $28.99 | Promo: 1
 插入成功: NZ Diced Beef | $28.99 | Promo: 1
 插入成功: Lamb Leg Roast | $23.89 | Promo: 0
 插入成功: Beef Scotch Fillet Steak | $42.99 | Promo: 0
 插入成功: NZ Beef Porterhouse Steak | $36.99 | Promo: 0
 插入成功: Lamb Loin Chops | $28.99 | Promo: 0
 插入成功: Wilson Hellaby Corned Silverside | $17.89 | Promo: 0
 插入成功: Mega Lamb Shoulder Chops | $18.49 | Promo: 0
 插入成功: Lamb Steak | $34.99 | Promo: 0
 插入成功: Beef Fillet Steak | $63.99 | Promo: 0
 插入成功: NZ Beef Bolar Roast | $26.49 | Promo: 0
 插入成功: Lamb Butterfly Leg Roasts | $40.99 | Promo: 0
 插入成功: NZ Beef Blade Steak | $27.49 | Promo: 0
 插入成功: Mega Beef Porterhouse Steak | $35.99 | Promo: 0
 插入成功: NZ Beef Topside Steak | $27.49 | Promo: 0
 插入成功: Harris Farms Italian Shorts Beef Sausages | $7.49 | Promo: 1
 插入成功: NZ Beef Topside Roast | $26.99 | Promo: 0
 插入成功: NZ Beef Chuck Steak | $28.99 | Promo: 0
 插入成功: NZ Tenderised Beef Steak | $27.99 | Promo: 1
 插入成功: Lamb Shanks (Knuckles) | $19.99 | Promo: 0
 插入成功: Beef Minute Steak | $25.49 | Promo: 0
 插入成功: Beef Cheeks | $28.99 | Promo: 0
 插入成功: Beef Rump Roast | $27.29 | Promo: 0
 插入成功: Beef Ribeye Steak On The Bone | $39.99 | Promo: 0
 插入成功: Mega Beef Blade Steak | $26.49 | Promo: 0
 插入成功: Mega Beef Chuck Stewing Steak | $27.99 | Promo: 0
 插入成功: NZ Butterflied Lamb Shoulder | $31.99 | Promo: 0
 插入成功: Lamb Back Straps | $53.99 | Promo: 0
 插入成功: Beef Skirt Steak | $23.99 | Promo: 0
 插入成功: Fresh French Lamb Cutlets | $51.99 | Promo: 0
 插入成功: Mega Beef Topside Steak | $26.99 | Promo: 0
 插入成功: Beef Danish Roast | $19.99 | Promo: 0
 插入成功: Diced Lamb | $40.49 | Promo: 0
 插入成功: Hellers Craft Ol Smokey Beef & Brisket Smashed Burgers | $5.99 | Promo: 0
 插入成功: Hellers Craft Beef & Caramelised Onion Smashed Burgers | $5.99 | Promo: 0
 插入成功: First Light Wagyu Beef Brisket Manuka Smoked BBQ Wagyu Beef Brisket | $18.99 | Promo: 1
 爬取 Egg @ store 81f807e9-1879-484c-b27e-ded56245c6a4
 正在访问: https://www.newworld.co.nz/shop/category/fresh-foods-and-bakery/dairy--eggs/eggs?storeId=81f807e9-1879-484c-b27e-ded56245c6a4
 插入成功: Woodland Free Range Size 7 Eggs | $7.79 | Promo: 1
 插入成功: Sure As Eggs Mixed Grade Eggs | $6.99 | Promo: 1
 插入成功: Woodland Free Range Grade 7 Eggs | $5.49 | Promo: 1
 插入成功: Farmer Brown Fresh Colony Size 6 Eggs | $12.99 | Promo: 0
 插入成功: Farmer Brown Fresh Colony Size 7 Eggs | $8.79 | Promo: 0
 插入成功: Woodland Free Range Size 6 Eggs | $9.69 | Promo: 0
 插入成功: Farmer Brown Fresh Colony Size 6 Eggs | $8.49 | Promo: 0
 插入成功: Farmer Brown Cage-Free Barn Size 6 Eggs | $8.49 | Promo: 1
 插入成功: Farmer Brown Fresh Colony Size 8 Eggs | $8.69 | Promo: 0
 插入成功: Sure As Eggs Size 7 Eggs | $7.99 | Promo: 0
 插入成功: Woodland Free Range Size 6 Eggs | $16.99 | Promo: 0
 插入成功: Farmer Brown Barn Cage Free Size 7 Eggs | $5.99 | Promo: 0
 插入成功: Woodland Free Range Grade 8 Eggs | $7.29 | Promo: 0
 插入成功: Farmer Brown Cage-Free Barn Size 7 Eggs | $10.99 | Promo: 0
 插入成功: Farmer Brown Free Range Large Size 7 Eggs | $11.79 | Promo: 0
 插入成功: Farmer Brown Fresh Colony Size 7 Eggs | $5.79 | Promo: 0
 插入成功: Bowalley Free Range Mixed Grade Eggs | $7.99 | Promo: 0
 插入成功: Pams Free Range Free Range Size 6 Eggs | $9.99 | Promo: 0
 插入成功: New Day Free Range Mixed Grade Eggs | $10.49 | Promo: 1
 插入成功: Woodland Free Range Grade 8 Eggs | $12.19 | Promo: 0
 插入成功: Bowalley Free Range Size 7 Eggs | $10.19 | Promo: 0
 插入成功: Farmer Brown Fresh Colony Size 7 Eggs | $13.99 | Promo: 0
 插入成功: Bowalley Free Range Size 6 Eggs | $7.99 | Promo: 1
 插入成功: Farmer Brown Fresh Colony Size 8 Eggs | $6.49 | Promo: 0
 插入成功: Farmer Brown Free Range Mixed Grade Eggs | $11.19 | Promo: 0
 插入成功: Farmer Brown Barn Size 6 Eggs | $15.49 | Promo: 0
 插入成功: Pams Free Range Free Range Size 7 Eggs | $11.29 | Promo: 0
 插入成功: Farmer Brown Barn Cage Free Size 7 Eggs | $16.99 | Promo: 0
 插入成功: Zealand Farms Free Range Animal Welfare Foods Mixed Grade Eggs | $9.99 | Promo: 1
 插入成功: Hurunui Omegga Mixed Grade Eggs | $9.99 | Promo: 0
 插入成功: Lakeside Free Range Mixed Eggs | $10.99 | Promo: 0
 插入成功: Higgins Family Free Range Size 7 Eggs | $12.99 | Promo: 0
 插入成功: Pams Free Range Mixed Grade Eggs | $15.49 | Promo: 0
 插入成功: Lakeside Free Range Mixed Eggs | $5.99 | Promo: 0
 插入成功: Pams Free Range Size 8 Eggs | $11.29 | Promo: 0
 插入成功: New Day Free Range Size 7 Eggs | $10.69 | Promo: 0
 插入成功: Pams Free Range Size 7 Eggs | $6.29 | Promo: 0
 插入成功: Natural Free-Range Co Natural Free-Range Eggs | $12.99 | Promo: 0
 插入成功: Zeagold Egg White Natural Protein | $14.79 | Promo: 0
 插入成功: Wholesome New Zealand New Zealand Organic Mixed Grade Eggs | $13.79 | Promo: 0
 插入成功: Natural Free-Range Co White SPCA Eggs | $6.99 | Promo: 0
 插入成功: Higgins Family Free Range Jumbo Eggs | $12.79 | Promo: 0
 插入成功: Zealand Farms Free Range Size 7 Eco Eggs | $8.99 | Promo: 1
 插入成功: Higgins Family Free Range Jumbo Eggs | $7.99 | Promo: 0
 插入成功: Better Eggs Free Range Size 7 Eggs | $13.49 | Promo: 0
 插入成功: Zealand Farms Free Range Animal Welfare Mixed Grade Eggs | $14.99 | Promo: 1
 插入成功: Henergy Cage-Free A Grade Size 7 Eggs | $9.99 | Promo: 1
 插入成功: Old Fashion Egg Co Free Range Eggs | $10.49 | Promo: 0
 插入成功: Henergy Barn Size 6 Eggs | $14.99 | Promo: 1
 插入成功: Zealand Farms Free Range Mixed Grade Organic Bio Eggs | $13.49 | Promo: 0
 插入成功: Henergy Cage Free Size 7 Eggs | $15.99 | Promo: 1
 插入成功: Pams Cage-Free Size 6 Barn Eggs | $8.99 | Promo: 0
 插入成功: Henergy Cage-Free A Grade Jumbo Eggs | $9.99 | Promo: 0
 插入成功: Woodland Egg Whites | $9.49 | Promo: 0
 插入成功: Pams Cage-Free Size 7 Barn Eggs | $9.49 | Promo: 0
 插入成功: New Day Free Range Size 6 Eggs | $16.99 | Promo: 0
 爬取 Milk @ store 81f807e9-1879-484c-b27e-ded56245c6a4
 正在访问: https://www.newworld.co.nz/shop/category/fresh-foods-and-bakery/dairy--eggs/fresh-milk?storeId=81f807e9-1879-484c-b27e-ded56245c6a4
没有弹窗按钮，或点击失败，跳过
 插入成功: Value Standard Milk | $4.39 | Promo: 0
 插入成功: Value Standard Milk | $6.65 | Promo: 0
 插入成功: Pams Standard Milk | $2.95 | Promo: 0
 插入成功: Pams Standard Milk | $4.99 | Promo: 0
 插入成功: Pams Lite Milk | $4.99 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $5.59 | Promo: 0
 插入成功: Value Trim Milk | $4.39 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $3.39 | Promo: 0
 插入成功: Pams Standard Milk | $7.99 | Promo: 0
 插入成功: Pams Trim Milk | $2.95 | Promo: 0
 插入成功: Pams Calci Smart Milk | $6.29 | Promo: 0
 插入成功: Pams Trim Milk | $4.99 | Promo: 0
 插入成功: Pams Lite Milk | $2.95 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $1.65 | Promo: 0
 插入成功: Meadow Fresh Calci-Trim Fresh Milk | $6.75 | Promo: 0
 插入成功: Pams Calci Smart Milk | $3.55 | Promo: 0
 插入成功: Meadow Fresh Calci-Trim Fresh Milk | $3.65 | Promo: 0
 插入成功: Meadow Fresh Lite Fresh Milk | $5.59 | Promo: 0
 插入成功: Meadow Fresh Original Fresh Milk | $8.39 | Promo: 0
 插入成功: Meadow Fresh Trim Fresh Milk | $5.59 | Promo: 0
 插入成功: Meadow Fresh Trim Fresh Milk | $3.39 | Promo: 0
 插入成功: Anchor A2 Blue Milk | $7.49 | Promo: 0
 插入成功: Value Trim Milk | $6.65 | Promo: 0
 插入成功: Meadow Fresh Lite Fresh Milk | $3.39 | Promo: 0
 插入成功: Meadow Fresh Farmhouse Fresh Full Cream Milk | $6.89 | Promo: 0
 插入成功: Pams Trim Milk | $7.99 | Promo: 0
 插入成功: Meadow Fresh Trim Fresh Milk | $1.65 | Promo: 0
 插入成功: Naturalea Organic Milk | $4.89 | Promo: 0
 插入成功: Meadow Fresh Cultured Buttermilk | $5.15 | Promo: 0
 插入成功: Meadow Fresh Organic Original Fresh Milk | $7.49 | Promo: 0
 插入成功: Lewis Road Creamery A2 Protein Homogenised Milk | $7.29 | Promo: 0
 插入成功: Anchor A2 Lite Milk | $7.49 | Promo: 0
 插入成功: Puhoi Valley Fresh Non Homogenised Non Organic Milk | $6.79 | Promo: 0
 插入成功: Lewis Road Creamery Homogenised Jersey Milk | $6.75 | Promo: 0
 插入成功: Lewis Road Creamery Non-Homogenised Jersey Milk | $6.75 | Promo: 0
 插入成功: Lewis Road Creamery Half & Half Jersey Milk | $7.49 | Promo: 0
